zip_code,city,state,Longitude,Latitude
89406,Fallon,NV,39.4703,-118.7861
89407,Fallon,NV,39.4735,-118.7774
89496,Fallon,NV,39.4735,-118.7774
88901,The Lakes,NV,36.3225,-114.8197
88905,The Lakes,NV,35.9279,-114.9721
89002,Henderson,NV,36.0008,-114.9588
89004,Blue Diamond,NV,36.0464,-115.4039
89005,Boulder City,NV,35.9727,-114.8344
89006,Boulder City,NV,35.9279,-114.9721
89007,Bunkerville,NV,36.7684,-114.1281
89009,Henderson,NV,35.9279,-114.9721
89011,Henderson,NV,36.1065,-114.9192
89012,Henderson,NV,36.0119,-115.0433
89014,Henderson,NV,36.0564,-115.078
89015,Henderson,NV,36.0357,-114.9718
89016,Henderson,NV,35.9279,-114.9721
89018,Indian Springs,NV,36.5697,-115.6706
89019,Jean,NV,35.7368,-115.5405
89021,Logandale,NV,36.5935,-114.4683
89024,Mesquite,NV,36.8101,-114.0722
89025,Moapa,NV,36.6916,-114.6514
89026,Jean,NV,35.7789,-115.3239
89027,Mesquite,NV,36.8113,-114.1235
89028,Laughlin,NV,35.1604,-114.7464
89029,Laughlin,NV,35.1321,-114.6368
89030,North Las Vegas,NV,36.2115,-115.1241
89031,North Las Vegas,NV,36.2589,-115.1718
89032,North Las Vegas,NV,36.218,-115.1709
89033,North Las Vegas,NV,36.2845,-115.1345
89034,Mesquite,NV,36.809,-114.0591
89036,North Las Vegas,NV,36.1989,-115.1175
89037,Coyote Springs,NV,36.1579,-114.934
89039,Cal Nev Ari,NV,35.2522,-114.8714
89040,Overton,NV,36.5703,-114.4732
89046,Searchlight,NV,35.5132,-114.8866
89052,Henderson,NV,35.9878,-115.1167
89053,Henderson,NV,35.9279,-114.9721
89054,Sloan,NV,35.935,-115.2058
89067,Moapa,NV,36.6591,-114.6656
89070,Indian Springs,NV,36.5697,-115.6706
89074,Henderson,NV,36.0384,-115.0857
89077,Henderson,NV,36.0397,-114.9819
89081,North Las Vegas,NV,36.2583,-115.1068
89084,North Las Vegas,NV,36.2815,-115.1482
89085,North Las Vegas,NV,36.3097,-115.1981
89086,North Las Vegas,NV,36.2809,-115.1349
89087,North Las Vegas,NV,36.2204,-115.1458
89101,Las Vegas,NV,36.1721,-115.1224
89102,Las Vegas,NV,36.1433,-115.2004
89103,Las Vegas,NV,36.1149,-115.2161
89104,Las Vegas,NV,36.152,-115.1092
89105,Las Vegas,NV,36.086,-115.1471
89106,Las Vegas,NV,36.1847,-115.1617
89107,Las Vegas,NV,36.1705,-115.2176
89108,Las Vegas,NV,36.2044,-115.2233
89109,Las Vegas,NV,36.126,-115.1454
89110,Las Vegas,NV,36.173,-115.0669
89111,Las Vegas,NV,36.175,-115.1372
89112,Las Vegas,NV,36.1578,-115.0256
89113,Las Vegas,NV,36.0854,-115.2566
89114,Las Vegas,NV,36.0113,-115.1015
89115,Las Vegas,NV,36.2158,-115.0671
89116,Las Vegas,NV,36.175,-115.1372
89117,Las Vegas,NV,36.1302,-115.2755
89118,Las Vegas,NV,36.0811,-115.2169
89119,Las Vegas,NV,36.1008,-115.1365
89120,Las Vegas,NV,36.0914,-115.0885
89121,Las Vegas,NV,36.1232,-115.0902
89122,Las Vegas,NV,36.1205,-115.0523
89123,Las Vegas,NV,36.0383,-115.1462
89124,Las Vegas,NV,36.4257,-115.4809
