school_name,school_type,grades_served,email,address,city,state,zip_code,longitude,Latitude,phone,website
Carson Montessori,Charter,K-6,Slobsinger@carsonmontessori.com,2263 Mouton Dr,"Carson City, Nevada",Nevada,89706,39.205846,-119.743967,(775)887-9500,CARSONMONTESSORI.COM 
Bailey Charter School,Charter,K-6,KHumphreys@baileycharter.org,210 GENTRY WAY,RENO,NV,89502,39.494528,-119.795017,(775)323-6767,baileycharter.org
Coral Academy Elementary-South,Charter,K-5,aciftci@coralacademy.org,6155 Neil Rd,Reno,NV,89511,39.469231,-119.78137,(775)357-9122,coralacademy.org
Coral Academy Elementary-Northwest,Charter,K-5,eozturk@coralacademy.org,1595 Sky Mountain Dr,Reno,NV,89503,39.524499,-119.858645,(775)418-1115,coralacademy.org
Mariposa Language and Learning Academy,Charter,Pre-K - 6,jhunt@mariposaacademy.net,3875 GLEN STREET,RENO,NV,89502,39.488831,-119.778522,(775)826-4040,mariposaacademy.net
High Desert Montessori,Charter,Pre-K - 8,Principal@hdmsreno.com,101 FANTASTIC DR,RENO,NV,89512,39.548271,-119.784138,(775)624-2800,hdmsreno.com
Coral Academy High School,Charter,9-12,MKURT@CORALACADEMY.ORG,6275 NEIL RD,RENO,NV,89511,39.468569,-119.783553,(775)829-4601,CORALACADEMY.ORG
Coral Academy Elementary,Charter,K-5,CQuayle@coralacademy.org,1701 VALLEY ROAD,RENO,NV,89512,39.543877,-119.808282,(775)322-0274,coralacademy.org
Coral Academy Middle School,Charter,6-8,CGARLOCK@CORALACADEMY.ORG,1350 E. NINTH ST,RENO,NV,89512,39.538017,-119.796566,(775)323-2332,CORALACADEMY.ORG
Sierra Nevada Academy Charter,Charter,K-8,kregan@snacs.org,5600 Fox Ave,RENO,NV,89506,39.651142,-119.88264,(775)677-4500,snacs.org
Academy For Career Education,Charter,9-12,anicely@acehighschool.org,2800 VASSAR ST,RENO,NV,89502,39.512523,-119.774529,(775)324-3900,acehighschool.org
enCompass Academy,Charter,9-12,adam@encompassacademy.org,1300 FOSTER DR,RENO,NV,89509,39.515692,-119.833022,(775)322-5566,encompassacademy.org
Morris Sunset HS,AL: Alternative,9-12,WHITESL@NV.CCSD.NET,3801 E Washington Ave,Las Vegas,NV,89110,36.181035,-115.092209,(702)855-9765,
Acceleration Academy,AL: Alternative,9-12,harpeae@nv.ccsd.net,2020 W. Craig Road Suite 301,North Las Vegas,NV,89032,36.239664,-115.171358,(702)952-9773,
Burk Horizon-Southwest Sunset HS,AL: Alternative,9-12,DAVISCR@NV.CCSD.NET,4560 W Harmon Ave,Las Vegas,NV,89103,36.108326,-115.203078,(702)799-8150,
Global Community HS,AL: Alternative,9-12,GOEBERJ@NV.CCSD.NET,1725 S MARYLAND PARKWAY,Las Vegas,NV,89104,36.150854,-115.135869,(702)799-8850,
Cowan Sunset Southeast HS,AL: Alternative,9-12,BRYNEKA@NV.CCSD.NET,5300 E Russell Rd,Las Vegas,NV,89122,36.083965,-115.05588,(702)799-6370,
South Academic Center J-SHS,AL: Alternative,6-12,MONRODC@NV.CCSD.NET,4560 W Harmon Ave,Las Vegas,NV,89103,36.108326,-115.203078,(702)799-2070,
Cowan Academic Center J-SHS,AL: Alternative,6-12,MENDEJA@NV.CCSD.NET,5300 E Russell Rd,Las Vegas,NV,89122,36.083965,-115.05588,(702)799-6380,
Peterson Academic Center J-SHS,AL: Alternative,6-12,SHARAMS@NV.CCSD.NET,10250 W Centennial Pkwy,Las Vegas,NV,89149,36.278162,-115.32222,(702)799-6610,
Desert Rose HS,AL: Alternative,9-12,POLLEJ@NV.CCSD.NET,444 W Brooks Ave,N  Las Vegas,NV,89030,36.21406,-115.149394,(702)799-6240,
Mission High School,AL: Alternative,6-12,NICKEAM@NV.CCSD.NET,801 Veterans Memorial Drive,Las Vegas,NV,89101,36.179313,-115.13673,(702)799-7880,
Amy Ayoub Academy of Hope,AL: Alternative,6-12,MANNIAM@NV.CCSD.NET,115 Healing Center Drive,Boulder City,NV,89005,36.020563,-114.82952,(702)855-9765,
Quest Program,AL: Alternative,K-12,piccog@nv.ccsd.net,601 N Pecos Rd Suite 70,Las Vegas,NV,89101,36.173488,-115.098241,(702)799-1623,nv.ccsd.net
ASPIRE Academy High School,AL: Alternative,7-12,abraaksm@dcsd.k12.nv.us,1680 Bently Parkway South,Minden,NV,89423,38.959538,-119.729384,(775)392-1475,https://aspire.dcsd.net/
Douglas Nevada Online,AL: Alternative,6-8,abraaksm@dcsd.k12.nv.us,1680 Bently Parkway,Minden,NV,89423,38.959538,-119.729384,(775)392-1480,
ALT School,AL: Alternative,4-12,abraaksm@dcsd.k12.nv.us,1680 Bently Parkway South,Minden,NV,89423,38.959538,-119.729384,(775)392-1475,
Battle Born Youth Challenge Academy,AL: Alternative,9-12,tsmithbu@ecsdnv.net,100 University Ave,Carlin,NV,89822,40.847899,-115.775524,(775)397-5032,https://bbyca.ecsdnv.net/
Esmeralda Virtual High School,AL: Alternative,9-12,jfossett@esmeraldacountyschools.com,MM11 Hwy 264,Dyer,NV,89010,37.6675,-118.06639,(775)572-3250,esmeraldacountyschools.com
Eagle Ridge High School,AL: Alternative,7-12,ataylor@lyoncsd.org,3755 W. Spruce Street,Silver Springs,NV,89429,39.390444,-119.285008,(775)577-5082,lyoncsd.org
Pathways High School,AL: Alternative,9-12,hriggs@nyeschools.org,2765 Mt. Charleston Drive,Pahrump,NV,89048,36.191102,-116.002937,(775)751-6822,http://pathways.nye.k12.nv.us/
Pathways Middle School,AL: Alternative,6-8,hriggs@nyeschools.org,2765 Mt. Charleston Drive,Pahrump,NV,89048,36.191102,-116.002937,(775)751-6822,http://pathways.nye.k12.nv.us/
Pathways Elementary School,AL: Alternative,3-5,hriggs@nyeschools.org,2765 Mt. Charleston Drive,Pahrump,NV,89048,36.191102,-116.002937,(775)751-6822,http://pathways.nye.k12.nv.us/
WASHOE INSPIRE ACADEMY,AL: Alternative,6-12,CLMcDonald@washoeschools.net,1155 CORPORATE BLVD,RENO,NV,89502,39.511809,-119.75024,(775)857-3181,https://www.washoeschools.net/washoeinspire
INNOVATIONS HIGH SCHOOL,AL: Alternative,9-12,Michael.Bradley@WashoeSchools.net,777 West Second Street,Reno,NV,89503,39.5253,-119.823211,(775)333-5150,https://www.washoeschools.net/innovations
TURNING POINT,AL: Alternative,1-12,CBessette@WashoeSchools.net,350 Hunter Lake Dr,Reno,NV,89509,39.51661,-119.834873,(775)337-7560,https://www.washoeschools.net/turningpoint
NORTH STAR ONLINE SCHOOL,AL: Alternative,K-12,Cristina.Oronoz@washoeschools.net,5450 RIGGINS COURT STE. #6,RENO,NV,89502,39.473524,-119.775606,(775)353-6900,https://www.washoeschools.net/northstar
Steptoe Valley High School,AL: Alternative,9-12,kenna.hall@wpcnvadmin.com,700 Aultman Street,Ely,NV,89301,39.248639,-114.890623,(775)289-2999,www.whitepine.k12.nv.us
Southeast Career Technical Academy HS,CTE: Career and Technical,9-12,SANCHIM@NV.CCSD.NET,5710 Mountain Vista,Las Vegas,NV,89120,36.081537,-115.069985,(702)799-7500,
Advanced Technologies Academy HS,CTE: Career and Technical,9-12,MARENAD@NV.CCSD.NET,1411 Robin Street,Las Vegas,NV,89106,36.186056,-115.174566,(702)799-7870,
Veterans Tribute CTA HS,CTE: Career and Technical,9-12,DAVISJB@NV.CCSD.NET,2531 Vegas Dr,Las Vegas,NV,89106,36.188493,-115.178085,(702)799-4710,
Southwest Career & Technical Academy HS,CTE: Career and Technical,9-12,LEVYDM@NV.CCSD.NET,7050 W Shelbourne Ave,Las Vegas,NV,89113,36.038214,-115.247223,(702)799-5766,
West Career & Technical Academy HS,CTE: Career and Technical,9-12,DOCKTAC@NV.CCSD.NET,11945 W Charleston Blvd,Las Vegas,NV,89135,36.158213,-115.354609,(702)799-4340,
Northwest Career-Technical Academy HS,CTE: Career and Technical,9-12,GAULTLK@NV.CCSD.NET,8200 W Tropical Pkwy,Las Vegas,NV,89149,36.271764,-115.273887,(702)799-4640,
East Career and Technical Academy HS,CTE: Career and Technical,9-12,LERUTNG@NV.CCSD.NET,6705 Vegas Valley Dr,Las Vegas,NV,89142,36.137321,-115.028866,(702)799-8888,
Central Technical Training Academy,CTE: Career and Technical,9-12,bondelm@nv.ccsd.net,1725 S. Maryland Pkwy,Las Vegas,NV,89104,36.150854,-115.135869,(702)799-0250,
Northeast Career and Technical Academy HS,CTE: Career and Technical,9-12,cordird@nv.ccsd.net,405 W. Dorrell Lane,North Las Vegas,NV,89084,36.284729,-115.14159,(702)799-1720,
South Career and Technical Academy HS,CTE: Career and Technical,9-12,thomapr1@nv.ccsd.net,225 E. Starr Ave,Las Vegas,NV,89183,35.985058,-115.163153,(702)799-1111,
DEBBIE SMITH CTE ACADEMY,CTE: Career and Technical,9-12,mgifford@washoeschools.net,2880 Sutro Street,Reno,NV,89512,39.55583,-119.797379,(775)326-0200,
ACADEMY OF ARTS CAREERS & TECH,CTE: Career and Technical,9-12,JMattick@washoeschools.net,380 EDISON WAY,RENO,NV,89502,39.505975,-119.755159,(775)327-3920,https://www.washoeschools.net/aact
E C Best Elementary,Public,2-3,bartonb@churchillcsd.com,750 E Williams Ave,Fallon,NV,89406,39.474195,-118.764718,(775)423-3159,http://www.churchillcsd.com/our-schools/ec-best-elem/e-c-best-elementary
Lahontan Elementary School,Public,K-12,melendyk@churchillcsd.com,1099 Merton Drive,Fallon,NV,89406,39.463974,-118.786429,(775)423-1999,http://www.churchillcsd.com/our-schools/lahontan-elem/lahontan-elementary
Numa Elementary School,Public,4-5,PurrellS@Churchillcsd.com,601 Discovery Way,Fallon,NV,89406,39.469504,-118.760089,(775)428-1996,http://www.churchillcsd.com/our-schools/numa-elem/numa-elementary
Churchill County Middle School,Public,6-8,porrettad@churchillcsd.com,650 South Maine Street,Fallon,NV,89406,39.468595,-118.77696,(775)423-7701,http://www.churchillcsd.com/our-schools/churchill-county-middle-school/churchill-county-middle-schoo
Churchill County High School,Public,9-12,spencert@churchillcsd.com,1 Greenwave Circle,Fallon,NV,89406,39.479393,-118.296879,(775)423-2181,http://www.churchillcsd.com/our-schools/churchill-county-high-school/churchill-county-high-school
"Thompson, Tyrone ES",Public,Pre-K - 5,HINCHRW@NV.CCSD.NET,10250 S. El Capitan Way,Las Vegas,NV,89178,36.00229,-115.287684,(702)799-2510,
"Abston, Sandra B ES",Public,Pre-K - 5,freteml@nv.ccsd.net,9950 W Tompkins Ave,Las Vegas,NV,89147,36.104963,-115.309532,(702)799-2570,
"Jenkins, Earl N ES",Public,Pre-K - 5,STOOPNK@NV.CCSD.NET,6950 Vegas Valley Dr,Las Vegas,NV,89142,36.138529,-115.021071,(702)799-3200,
"Ellis, Robert & Sandy ES",Public,Pre-K - 5,lewissc@NV.CCSD.NET,3200 Artella Avenue,Henderson,NV,89044,35.948787,-115.127926,(702)799-5888,
"Ortwein, Dennis ES",Public,Pre-K - 5,FENNTL@NV.CCSD.NET,10926 Dean Martin Drive,Las Vegas,NV,89141,35.990414,-115.182819,(702)799-2680,
"Barber, Shirley A ES",Public,Pre-K - 5,grangja@nv.ccsd.net,2002 Dave Street,Las Vegas,NV,89183,36.005345,-115.124814,(702)799-5915,
"Divich, Kenneth ES",Public,Pre-K - 5,kammarw@nv.ccsd.net,9851 Donald Nelson Avenue,Las Vegas,NV,89149,36.30038,-115.309738,(702)799-4585,https://divichelementary.org/
"Jones Blackhurst, Jan L ES",Public,Pre-K - 5,BOCCIJL@NV.CCSD.NET,11141 S Pioneer Wy,Las Vegas,NV,89179,35.98748,-115.257556,(702)799-1252,
"Vassiliadis, Billy & Rosemary ES",Public,Pre-K - 5,CATANPJ@NV.CCSD.NET,215 Antelope Ridge Dr,Las Vegas,NV,89138,36.176557,-115.360173,(702)799-1420,
"Berkley, Shelley ES",Public,Pre-K - 5,GOMEZD1@NV.CCSD.NET,9850 Copper Edge Rd,Las Vegas,NV,89148,36.061962,-115.308031,(702)799-2525,
"Stevens, Josh ES",Public,Pre-K - 5,RATLIVH@NV.CCSD.NET,550 Dave Wood Circle,Henderson,NV,89011,36.084869,-114.960456,(702)799-0220,
"Mathis, Dr. Beverly S ES",Public,Pre-K - 5,FERGULR@NV.CCSD.NET,7950 Arville St,Las Vegas,NV,89139,36.045387,-115.197942,(702)799-8170,
"Heard, Lomie G ES",Public,Pre-K - 5,WILLID31@NV.CCSD.NET,4497 Kell Ln,Las Vegas,NV,89110,36.192242,-115.075805,(702)799-4920,
"Snyder, Don & Dee ES",Public,Pre-K - 5,BROWNSA@NV.CCSD.NET,8951 W Ford Ave,Las Vegas,NV,89148,36.028708,-115.286975,(702)799-1360,
NW Career-Technical Academy ES,Public,K,GAULTLK@NV.CCSD.NET,8200 W Tropical Pkwy,Las Vegas,NV,89149,36.271764,-115.273887,(702)799-4640,
"Duncan, Ruby ES",Public,Pre-K - 5,PAYNES@NV.CCSD.NET,250 W Rome Blvd,N  Las Vegas,NV,89084,36.2813,-115.141177,(702)799-7100,
"Wallin, Shirley & Bill ES",Public,Pre-K - 5,taylokj@NV.CCSD.NET,2333 Canyon Retreat Dr,Henderson,NV,89044,35.931475,-115.089192,(702)799-5776,
"Stuckey, Evelyn ES",Public,Pre-K - 5,ROBINBM@NV.CCSD.NET,4905 Chartan Ave,Las Vegas,NV,89141,35.986936,-115.208265,(702)799-2274,
"Keller, Charlotte & Jerry ES",Public,Pre-K - 5,CARROAN@NV.CCSD.NET,5445 Cedar Ave,Las Vegas,NV,89110,36.169359,-115.054729,(702)799-2140,
"Fine, Mark L ES",Public,Pre-K - 5,TOYAMEI@NV.CCSD.NET,6635 W Cougar Ave,Las Vegas,NV,89139,36.031597,-115.236743,(702)799-6882,
"Bozarth, Henry & Evelyn ES",Public,Pre-K - 5,MCGUIJB@NV.CCSD.NET,7431 Egan Crest Dr,Las Vegas,NV,89149,36.2963,-115.321063,(702)799-6608,
"Triggs, Vincent L ES",Public,Pre-K - 5,CLARKAD@NV.CCSD.NET,4470 W Rome Blvd,N  Las Vegas,NV,89084,36.280844,-115.201986,(702)799-1890,
"O Roarke, Thomas ES",Public,Pre-K - 5,BARTOKM@NV.CCSD.NET,8455 O'Hare Road,Las Vegas,NV,89143,36.323498,-115.279757,(702)799-6600,
"Reedom, Carolyn S ES",Public,Pre-K - 5,SHEPPK@NV.CCSD.NET,10025 Rumrill St,Las Vegas,NV,89178,36.006812,-115.269983,(702)799-5702,
"Diaz, Ruben P ES",Public,Pre-K - 5,EPSTET@NV.CCSD.NET,4450 E Owens Ave,Las Vegas,NV,89110,36.188348,-115.078387,(702)799-2120,
"Scott, Jesse D ES",Public,Pre-K - 5,turnevd1@nv.ccsd.net,5700 N Bruce St,N  Las Vegas,NV,89081,36.264481,-115.124494,(702)799-1766,
"West, Dr. Charles I. Preparatory Academy ES",Public,Pre-K - 5,BARKEN@NV.CCSD.NET,1950 Pink Rose St.,Las Vegas,NV,89106,36.193992,-115.166795,(702)799-3120,
